,BKR
2015-01-02,56.16999816894531
2015-01-05,55.15999984741211
2015-01-06,54.9900016784668
2015-01-07,56.470001220703125
2015-01-08,57.02999877929688
2015-01-09,56.470001220703125
2015-01-12,55.09000015258789
2015-01-13,55.2400016784668
2015-01-14,54.810001373291016
2015-01-15,53.52999877929688
2015-01-16,56.560001373291016
2015-01-20,57.2599983215332
2015-01-21,58.33000183105469
2015-01-22,58.209999084472656
2015-01-23,58.400001525878906
2015-01-26,58.93000030517578
2015-01-27,59.290000915527344
2015-01-28,56.95000076293945
2015-01-29,57.08000183105469
2015-01-30,57.9900016784668
2015-02-02,59.72999954223633
2015-02-03,61.77000045776367
2015-02-04,60.97999954223633
2015-02-05,62.27999877929688
2015-02-06,62.66999816894531
2015-02-09,62.86000061035156
2015-02-10,62.060001373291016
2015-02-11,61.59000015258789
2015-02-12,62.380001068115234
2015-02-13,64.30999755859375
2015-02-17,65.04000091552734
2015-02-18,64.44999694824219
2015-02-19,64.2699966430664
2015-02-20,63.4900016784668
2015-02-23,62.91999816894531
2015-02-24,63.02999877929688
2015-02-25,63.68000030517578
2015-02-26,62.5
2015-02-27,62.5099983215332
2015-03-02,62.54999923706055
2015-03-03,62.650001525878906
2015-03-04,62.459999084472656
2015-03-05,62.09999847412109
2015-03-06,60.91999816894531
2015-03-09,60.61000061035156
2015-03-10,60.06999969482422
2015-03-11,60.16999816894531
2015-03-12,59.72999954223633
2015-03-13,58.869998931884766
2015-03-16,59.93999862670898
2015-03-17,59.25
2015-03-18,60.7599983215332
2015-03-19,60.93000030517578
2015-03-20,62.470001220703125
2015-03-23,62.04999923706055
2015-03-24,62.29999923706055
2015-03-25,63.29999923706055
2015-03-26,62.84000015258789
2015-03-27,62.790000915527344
2015-03-30,63.47999954223633
2015-03-31,63.58000183105469
2015-04-01,63.83000183105469
2015-04-02,63.7599983215332
2015-04-06,65.66000366210938
2015-04-07,64.33000183105469
2015-04-08,64.22000122070312
2015-04-09,65.87999725341797
2015-04-10,66.54000091552734
2015-04-13,65.5999984741211
2015-04-14,66.62999725341797
2015-04-15,68.91999816894531
2015-04-16,68.2300033569336
2015-04-17,66.9800033569336
2015-04-20,68.33999633789062
2015-04-21,67.3499984741211
2015-04-22,67.06999969482422
2015-04-23,68.37000274658203
2015-04-24,68.08999633789062
2015-04-27,68.4000015258789
2015-04-28,68.43000030517578
2015-04-29,68.75
2015-04-30,68.45999908447266
2015-05-01,69.0199966430664
2015-05-04,69.12999725341797
2015-05-05,67.66000366210938
2015-05-06,67.2300033569336
2015-05-07,66.0999984741211
2015-05-08,67.69999694824219
2015-05-11,66.41999816894531
2015-05-12,66.98999786376953
2015-05-13,66.5
2015-05-14,65.5
2015-05-15,65.8499984741211
2015-05-18,66.0199966430664
2015-05-19,64.44999694824219
2015-05-20,64.26000213623047
2015-05-21,65.87999725341797
2015-05-22,65.52999877929688
2015-05-26,64.5999984741211
2015-05-27,64.9000015258789
2015-05-28,64.5199966430664
2015-05-29,64.45999908447266
2015-06-01,64.31999969482422
2015-06-02,65.22000122070312
2015-06-03,64.69000244140625
2015-06-04,63.63999938964844
2015-06-05,64.68000030517578
2015-06-08,64.01000213623047
2015-06-09,64.02999877929688
2015-06-10,65.08999633789062
2015-06-11,64.4000015258789
2015-06-12,64.12999725341797
2015-06-15,63.77999877929688
2015-06-16,63.59999847412109
2015-06-17,63.810001373291016
2015-06-18,62.310001373291016
2015-06-19,61.93000030517578
2015-06-22,62.40999984741211
2015-06-23,62.88999938964844
2015-06-24,62.63999938964844
2015-06-25,62.060001373291016
2015-06-26,61.900001525878906
2015-06-29,61.11000061035156
2015-06-30,61.70000076293945
2015-07-01,60.0099983215332
2015-07-02,60.34999847412109
2015-07-06,59.29999923706055
2015-07-07,60.68000030517578
2015-07-08,59.7400016784668
2015-07-09,60.150001525878906
2015-07-10,59.709999084472656
2015-07-13,60.29999923706055
2015-07-14,61.130001068115234
2015-07-15,59.5
2015-07-16,58.869998931884766
2015-07-17,58.31999969482422
2015-07-20,59.459999084472656
2015-07-21,60.63999938964844
2015-07-22,58.27999877929688
2015-07-23,59.2599983215332
2015-07-24,58.65999984741211
2015-07-27,57.7400016784668
2015-07-28,58.54999923706055
2015-07-29,59.66999816894531
2015-07-30,58.68999862670898
2015-07-31,58.150001525878906
2015-08-03,55.54999923706055
2015-08-04,55.29999923706055
2015-08-05,56.33000183105469
2015-08-06,56.560001373291016
2015-08-07,55.720001220703125
2015-08-10,57.83000183105469
2015-08-11,57.540000915527344
2015-08-12,58.59999847412109
2015-08-13,56.900001525878906
2015-08-14,57.33000183105469
2015-08-17,56.7599983215332
2015-08-18,56.650001525878906
2015-08-19,54.09000015258789
2015-08-20,51.36000061035156
2015-08-21,49.52000045776367
2015-08-24,45.7599983215332
2015-08-25,47.7400016784668
2015-08-26,49.20000076293945
2015-08-27,53.75
2015-08-28,54.720001220703125
2015-08-31,56.0
2015-09-01,54.380001068115234
2015-09-02,54.7400016784668
2015-09-03,54.81999969482422
2015-09-04,53.2599983215332
2015-09-08,54.0099983215332
2015-09-09,52.9900016784668
2015-09-10,53.68000030517578
2015-09-11,53.08000183105469
2015-09-14,53.18000030517578
2015-09-15,53.41999816894531
2015-09-16,55.65999984741211
2015-09-17,55.290000915527344
2015-09-18,53.470001220703125
2015-09-21,54.72999954223633
2015-09-22,54.290000915527344
2015-09-23,54.0
2015-09-24,53.209999084472656
