,BX
2015-01-02,33.493621826171875
2015-01-05,33.00294494628906
2015-01-06,32.36506271362305
2015-01-07,32.82630157470703
2015-01-08,33.081451416015625
2015-01-09,33.57212829589844
2015-01-12,33.70951843261719
2015-01-13,33.44455337524414
2015-01-14,33.316978454589844
2015-01-15,32.84592819213867
2015-01-16,33.042198181152344
2015-01-20,33.316978454589844
2015-01-21,34.05299377441406
2015-01-22,35.04416275024414
2015-01-23,35.38763427734375
2015-01-26,35.770362854003906
2015-01-27,35.8979377746582
2015-01-28,36.054954528808594
2015-01-29,36.1727180480957
2015-01-30,36.64376831054688
2015-02-02,36.5750732421875
2015-02-03,37.15407180786133
2015-02-04,36.506378173828125
2015-02-05,35.60353469848633
2015-02-06,35.40726089477539
2015-02-09,35.61334609985352
2015-02-10,36.01570129394531
2015-02-11,35.78998947143555
2015-02-12,36.22178649902344
2015-02-13,36.7026481628418
2015-02-17,36.65358352661133
2015-02-18,36.51619338989258
2015-02-19,36.820411682128906
2015-02-20,36.92835998535156
2015-02-23,36.75171661376953
2015-02-24,37.15407180786133
2015-02-25,37.15407180786133
2015-02-26,37.19332885742188
2015-02-27,36.761531829833984
2015-03-02,37.42885208129883
2015-03-03,37.14426040649414
2015-03-04,37.89008712768555
2015-03-05,38.41020584106445
2015-03-06,38.0274772644043
2015-03-09,37.58586883544922
2015-03-10,37.56624221801758
2015-03-11,37.72325897216797
2015-03-12,37.968597412109375
2015-03-13,37.24239349365234
2015-03-16,37.60549545288086
2015-03-17,37.36997222900391
2015-03-18,37.97840881347656
2015-03-19,37.968597412109375
2015-03-20,37.968597412109375
2015-03-23,37.64474868774414
2015-03-24,37.58586883544922
2015-03-25,37.28165054321289
2015-03-26,36.88910675048828
2015-03-27,37.30127716064453
2015-03-30,37.69381713867188
2015-03-31,38.16486740112305
2015-04-01,38.31207275390625
2015-04-02,38.04710388183594
2015-04-06,37.83120727539063
2015-04-07,38.21393585205078
2015-04-08,38.47890090942383
2015-04-09,38.469085693359375
2015-04-10,39.27379989624024
2015-04-13,39.40137481689453
2015-04-14,39.29342651367188
2015-04-15,40.25515365600586
2015-04-16,40.38272857666016
2015-04-17,41.06967544555664
2015-04-20,41.04023742675781
2015-04-21,40.94210052490234
2015-04-22,40.981353759765625
2015-04-23,40.225711822509766
2015-04-24,40.63787841796875
2015-04-27,40.81452560424805
2015-04-28,40.91265869140625
2015-04-29,40.99116897583008
2015-04-30,40.19626998901367
2015-05-01,40.961727142333984
2015-05-04,41.756622314453125
2015-05-05,41.49165725708008
2015-05-06,40.97154235839844
2015-05-07,41.47203063964844
2015-05-08,41.80569076538086
2015-05-11,41.89401245117188
2015-05-12,41.74681091308594
2015-05-13,41.78606414794922
2015-05-14,42.28655624389648
2015-05-15,42.580963134765625
2015-05-18,43.14033508300781
2015-05-19,42.82630157470703
2015-05-20,42.94406127929688
2015-05-21,42.757606506347656
2015-05-22,42.61040115356445
2015-05-26,42.3748779296875
2015-05-27,42.63984298706055
2015-05-28,42.81648635864258
2015-05-29,42.98331832885742
2015-06-01,42.68891143798828
2015-06-02,42.53189468383789
2015-06-03,42.72816467285156
2015-06-04,42.21786117553711
2015-06-05,41.60942077636719
2015-06-08,41.118743896484375
2015-06-09,40.42198181152344
2015-06-10,41.22669219970703
2015-06-11,41.62904739379883
2015-06-12,41.707557678222656
2015-06-15,41.4524040222168
2015-06-16,41.19725036621094
2015-06-17,41.099117279052734
2015-06-18,41.21688079833984
2015-06-19,41.599605560302734
