,COR
2015-01-02,90.45999908447266
2015-01-05,89.69000244140625
2015-01-06,90.18000030517578
2015-01-07,91.9800033569336
2015-01-08,92.19000244140624
2015-01-09,93.0
2015-01-12,90.93000030517578
2015-01-13,91.63999938964844
2015-01-14,92.0999984741211
2015-01-15,91.4000015258789
2015-01-16,92.41999816894533
2015-01-20,92.44000244140624
2015-01-21,92.77999877929688
2015-01-22,94.1500015258789
2015-01-23,94.7300033569336
2015-01-26,95.8499984741211
2015-01-27,95.91999816894533
2015-01-28,96.37000274658205
2015-01-29,96.33999633789062
2015-01-30,95.0500030517578
2015-02-02,95.1500015258789
2015-02-03,95.63999938964844
2015-02-04,95.87000274658205
2015-02-05,96.33999633789062
2015-02-06,97.04000091552734
2015-02-09,95.55999755859376
2015-02-10,96.91000366210938
2015-02-11,98.73999786376952
2015-02-12,99.83000183105467
2015-02-13,100.33999633789062
2015-02-17,100.5999984741211
2015-02-18,100.66000366210938
2015-02-19,101.01000213623048
2015-02-20,101.9800033569336
2015-02-23,102.76000213623048
2015-02-24,102.97000122070312
2015-02-25,103.29000091552734
2015-02-26,102.9800033569336
2015-02-27,102.76000213623048
2015-03-02,103.0999984741211
2015-03-03,103.04000091552734
2015-03-04,103.4800033569336
2015-03-05,103.63999938964844
2015-03-06,102.26000213623048
2015-03-09,103.33999633789062
2015-03-10,102.93000030517578
2015-03-11,103.83999633789062
2015-03-12,105.37999725341795
2015-03-13,106.1500015258789
2015-03-16,110.12999725341795
2015-03-17,110.36000061035156
2015-03-18,111.6999969482422
2015-03-19,112.37000274658205
2015-03-20,113.45999908447266
2015-03-23,113.63999938964844
2015-03-24,113.88999938964844
2015-03-25,112.13999938964844
2015-03-26,112.08999633789062
2015-03-27,113.19000244140624
2015-03-30,113.48999786376952
2015-03-31,113.66999816894533
2015-04-01,112.02999877929688
2015-04-02,112.38999938964844
2015-04-06,112.54000091552734
2015-04-07,112.68000030517578
2015-04-08,113.23999786376952
2015-04-09,113.5
2015-04-10,115.3499984741211
2015-04-13,113.98999786376952
2015-04-14,114.0
2015-04-15,113.62000274658205
2015-04-16,113.83000183105467
2015-04-17,112.61000061035156
2015-04-20,113.19000244140624
2015-04-21,113.88999938964844
2015-04-22,113.80999755859376
2015-04-23,115.1999969482422
2015-04-24,115.4800033569336
2015-04-27,114.11000061035156
2015-04-28,113.95999908447266
2015-04-29,112.44000244140624
2015-04-30,114.3000030517578
2015-05-01,114.61000061035156
2015-05-04,115.25
2015-05-05,114.6999969482422
2015-05-06,114.05999755859376
2015-05-07,114.06999969482422
2015-05-08,115.3000030517578
2015-05-11,114.91000366210938
2015-05-12,115.0500030517578
2015-05-13,114.3000030517578
2015-05-14,114.66000366210938
2015-05-15,114.18000030517578
2015-05-18,113.30999755859376
2015-05-19,115.11000061035156
2015-05-20,114.70999908447266
2015-05-21,113.94000244140624
2015-05-22,113.8000030517578
2015-05-26,113.0
2015-05-27,113.58999633789062
2015-05-28,113.0999984741211
2015-05-29,112.55999755859376
2015-06-01,113.26000213623048
2015-06-02,112.4800033569336
2015-06-03,112.37999725341795
2015-06-04,111.48999786376952
2015-06-05,111.5
2015-06-08,110.22000122070312
2015-06-09,109.12000274658205
2015-06-10,108.75
2015-06-11,110.41000366210938
2015-06-12,110.1500015258789
2015-06-15,110.62999725341795
2015-06-16,111.18000030517578
2015-06-17,111.51000213623048
2015-06-18,111.91999816894533
2015-06-19,111.47000122070312
2015-06-22,111.79000091552734
2015-06-23,111.80999755859376
2015-06-24,109.5999984741211
2015-06-25,107.61000061035156
2015-06-26,107.83999633789062
2015-06-29,106.0999984741211
2015-06-30,106.33999633789062
2015-07-01,107.70999908447266
2015-07-02,107.0999984741211
2015-07-06,108.02999877929688
2015-07-07,108.62999725341795
2015-07-08,107.83000183105467
2015-07-09,108.86000061035156
2015-07-10,109.45999908447266
2015-07-13,110.06999969482422
2015-07-14,110.4000015258789
2015-07-15,110.52999877929688
2015-07-16,111.87999725341795
2015-07-17,113.1999969482422
2015-07-20,114.76000213623048
2015-07-21,114.0999984741211
2015-07-22,114.9499969482422
2015-07-23,110.12000274658205
2015-07-24,108.7300033569336
2015-07-27,107.37000274658205
2015-07-28,108.0
2015-07-29,107.77999877929688
2015-07-30,104.47000122070312
2015-07-31,105.75
2015-08-03,105.81999969482422
2015-08-04,106.20999908447266
2015-08-05,107.25
2015-08-06,104.75
2015-08-07,104.36000061035156
2015-08-10,104.6500015258789
2015-08-11,104.51000213623048
2015-08-12,104.37999725341795
2015-08-13,103.87999725341795
2015-08-14,103.94000244140624
2015-08-17,104.62000274658205
2015-08-18,104.9499969482422
2015-08-19,106.13999938964844
2015-08-20,103.37000274658205
2015-08-21,101.8000030517578
2015-08-24,98.52999877929688
2015-08-25,97.41000366210938
2015-08-26,100.61000061035156
2015-08-27,101.1500015258789
2015-08-28,100.87000274658205
2015-08-31,100.04000091552734
2015-09-01,99.2699966430664
2015-09-02,100.27999877929688
2015-09-03,100.0
2015-09-04,98.98999786376952
2015-09-08,101.0500030517578
2015-09-09,100.75
2015-09-10,102.02999877929688
2015-09-11,104.33999633789062
2015-09-14,104.62000274658205
2015-09-15,105.55999755859376
2015-09-16,106.29000091552734
2015-09-17,106.77999877929688
2015-09-18,106.0999984741211
2015-09-21,105.27999877929688
2015-09-22,103.2699966430664
2015-09-23,102.81999969482422
2015-09-24,101.97000122070312
2015-09-25,99.83999633789062
2015-09-28,96.19000244140624
2015-09-29,95.0500030517578
2015-09-30,94.98999786376952
2015-10-01,94.51000213623048
2015-10-02,94.91000366210938
2015-10-05,94.98999786376952
2015-10-06,93.02999877929688
2015-10-07,92.94000244140624
2015-10-08,93.54000091552734
2015-10-09,92.83999633789062
2015-10-12,93.72000122070312
2015-10-13,94.1500015258789
2015-10-14,93.02999877929688
2015-10-15,94.06999969482422
2015-10-16,95.05999755859376
2015-10-19,94.79000091552734
2015-10-20,93.18000030517578
2015-10-21,92.70999908447266
2015-10-22,92.8000030517578
2015-10-23,93.12999725341795
2015-10-26,93.62999725341795
