,DPZ
2015-01-02,94.29000091552734
2015-01-05,95.47000122070312
2015-01-06,94.29000091552734
2015-01-07,97.5
2015-01-08,100.77999877929688
2015-01-09,100.5
2015-01-12,102.12000274658205
2015-01-13,101.6999969482422
2015-01-14,98.91000366210938
2015-01-15,96.83000183105467
2015-01-16,98.48999786376952
2015-01-20,97.51000213623048
2015-01-21,97.37999725341795
2015-01-22,99.01000213623048
2015-01-23,98.0999984741211
2015-01-26,98.73999786376952
2015-01-27,98.93000030517578
2015-01-28,99.88999938964844
2015-01-29,101.29000091552734
2015-01-30,99.0500030517578
2015-02-02,98.08000183105467
2015-02-03,99.37000274658205
2015-02-04,99.72000122070312
2015-02-05,99.73999786376952
2015-02-06,99.86000061035156
2015-02-09,98.62999725341795
2015-02-10,100.93000030517578
2015-02-11,100.4499969482422
2015-02-12,100.55999755859376
2015-02-13,100.0
2015-02-17,100.66999816894533
2015-02-18,101.8499984741211
2015-02-19,101.75
2015-02-20,102.5
2015-02-23,104.5
2015-02-24,103.52999877929688
2015-02-25,103.93000030517578
2015-02-26,104.0
2015-02-27,101.52999877929688
2015-03-02,104.44000244140624
2015-03-03,102.83000183105467
2015-03-04,103.27999877929688
2015-03-05,103.37999725341795
2015-03-06,100.87000274658205
2015-03-09,101.36000061035156
2015-03-10,99.02999877929688
2015-03-11,98.16000366210938
2015-03-12,100.72000122070312
2015-03-13,99.72000122070312
2015-03-16,101.52999877929688
2015-03-17,102.1500015258789
2015-03-18,102.16999816894533
2015-03-19,103.7699966430664
2015-03-20,104.62999725341795
2015-03-23,104.0199966430664
2015-03-24,104.08999633789062
2015-03-25,101.11000061035156
2015-03-26,100.54000091552734
2015-03-27,101.0500030517578
2015-03-30,102.5500030517578
2015-03-31,100.5500030517578
2015-04-01,100.5
2015-04-02,100.98999786376952
2015-04-06,100.80999755859376
2015-04-07,99.38999938964844
2015-04-08,100.29000091552734
2015-04-09,99.1999969482422
2015-04-10,100.5
2015-04-13,100.1999969482422
2015-04-14,98.48999786376952
2015-04-15,98.36000061035156
2015-04-16,100.43000030517578
2015-04-17,99.23999786376952
2015-04-20,99.66000366210938
2015-04-21,99.4000015258789
2015-04-22,99.8000030517578
2015-04-23,109.2300033569336
2015-04-24,113.95999908447266
2015-04-27,110.25
2015-04-28,111.79000091552734
2015-04-29,109.38999938964844
2015-04-30,107.8499984741211
2015-05-01,108.33999633789062
2015-05-04,107.93000030517578
2015-05-05,105.70999908447266
2015-05-06,106.12999725341795
2015-05-07,107.93000030517578
2015-05-08,109.12999725341795
2015-05-11,109.83999633789062
2015-05-12,109.05999755859376
2015-05-13,108.68000030517578
2015-05-14,109.91000366210938
2015-05-15,110.33999633789062
2015-05-18,111.08999633789062
2015-05-19,110.5500030517578
2015-05-20,110.41000366210938
2015-05-21,110.06999969482422
2015-05-22,109.02999877929688
2015-05-26,108.55999755859376
2015-05-27,108.6500015258789
2015-05-28,109.20999908447266
2015-05-29,108.66000366210938
2015-06-01,109.0500030517578
2015-06-02,108.87000274658205
2015-06-03,108.98999786376952
2015-06-04,109.02999877929688
2015-06-05,110.0
2015-06-08,109.87000274658205
2015-06-09,110.43000030517578
2015-06-10,112.38999938964844
2015-06-11,111.93000030517578
2015-06-12,112.29000091552734
2015-06-15,110.80999755859376
2015-06-16,110.76000213623048
2015-06-17,110.91999816894533
2015-06-18,112.56999969482422
2015-06-19,111.91000366210938
2015-06-22,113.86000061035156
2015-06-23,113.62000274658205
2015-06-24,111.63999938964844
2015-06-25,111.72000122070312
2015-06-26,114.9000015258789
2015-06-29,114.0
2015-06-30,113.4000015258789
2015-07-01,114.5500030517578
2015-07-02,113.87999725341795
2015-07-06,113.12999725341795
2015-07-07,113.41999816894533
2015-07-08,113.23999786376952
2015-07-09,113.69000244140624
2015-07-10,115.91999816894533
2015-07-13,119.43000030517578
2015-07-14,118.79000091552734
2015-07-15,118.54000091552734
2015-07-16,115.56999969482422
2015-07-17,110.04000091552734
2015-07-20,111.04000091552734
2015-07-21,111.37000274658205
2015-07-22,112.30999755859376
2015-07-23,111.6500015258789
2015-07-24,110.95999908447266
2015-07-27,111.30999755859376
2015-07-28,111.7699966430664
2015-07-29,113.51000213623048
2015-07-30,113.83999633789062
2015-07-31,113.83999633789062
2015-08-03,114.2699966430664
2015-08-04,115.2300033569336
2015-08-05,114.4000015258789
2015-08-06,111.83999633789062
2015-08-07,113.43000030517578
2015-08-10,113.13999938964844
2015-08-11,113.48999786376952
2015-08-12,111.87999725341795
2015-08-13,114.1999969482422
2015-08-14,114.16999816894533
2015-08-17,114.98999786376952
2015-08-18,112.9000015258789
2015-08-19,110.52999877929688
2015-08-20,107.66000366210938
2015-08-21,104.4800033569336
2015-08-24,101.77999877929688
2015-08-25,105.0199966430664
2015-08-26,106.3000030517578
2015-08-27,107.8000030517578
2015-08-28,108.41000366210938
2015-08-31,105.94000244140624
2015-09-01,103.8499984741211
2015-09-02,105.18000030517578
2015-09-03,105.1500015258789
2015-09-04,105.5
2015-09-08,109.0
2015-09-09,108.18000030517578
2015-09-10,107.93000030517578
2015-09-11,110.22000122070312
2015-09-14,110.29000091552734
2015-09-15,111.81999969482422
2015-09-16,111.62000274658205
2015-09-17,112.5999984741211
2015-09-18,111.68000030517578
2015-09-21,111.02999877929688
2015-09-22,110.87000274658205
2015-09-23,110.97000122070312
2015-09-24,110.29000091552734
2015-09-25,112.9499969482422
2015-09-28,108.54000091552734
2015-09-29,105.87000274658205
2015-09-30,107.91000366210938
2015-10-01,105.33000183105467
2015-10-02,106.87999725341795
2015-10-05,108.3499984741211
2015-10-06,107.26000213623048
2015-10-07,108.02999877929688
2015-10-08,102.63999938964844
2015-10-09,105.37999725341795
2015-10-12,106.08000183105467
2015-10-13,106.16999816894533
2015-10-14,104.37000274658205
2015-10-15,105.86000061035156
2015-10-16,106.22000122070312
2015-10-19,107.25
2015-10-20,106.19000244140624
2015-10-21,103.45999908447266
2015-10-22,103.95999908447266
