,EG
2015-01-02,168.82000732421875
2015-01-05,167.91000366210938
2015-01-06,168.97000122070312
2015-01-07,170.11000061035156
2015-01-08,174.9600067138672
2015-01-09,171.60000610351562
2015-01-12,169.7100067138672
2015-01-13,169.05999755859375
2015-01-14,166.99000549316406
2015-01-15,167.9499969482422
2015-01-16,170.6999969482422
2015-01-20,169.1699981689453
2015-01-21,169.5399932861328
2015-01-22,173.22999572753906
2015-01-23,172.74000549316406
2015-01-26,174.82000732421875
2015-01-27,174.75
2015-01-28,172.63999938964844
2015-01-29,173.35000610351562
2015-01-30,171.3800048828125
2015-02-02,173.5500030517578
2015-02-03,176.14999389648438
2015-02-04,177.99000549316406
2015-02-05,181.8300018310547
2015-02-06,182.6199951171875
2015-02-09,181.33999633789065
2015-02-10,181.8999938964844
2015-02-11,182.009994506836
2015-02-12,182.1000061035156
2015-02-13,181.4199981689453
2015-02-17,178.8000030517578
2015-02-18,179.72999572753906
2015-02-19,178.97000122070312
2015-02-20,178.9499969482422
2015-02-23,177.69000244140625
2015-02-24,179.64999389648438
2015-02-25,177.7100067138672
2015-02-26,178.1300048828125
2015-02-27,177.42999267578125
2015-03-02,179.8699951171875
2015-03-03,178.5500030517578
2015-03-04,178.0800018310547
2015-03-05,178.32000732421875
2015-03-06,178.0800018310547
2015-03-09,177.22999572753906
2015-03-10,173.91000366210938
2015-03-11,175.9499969482422
2015-03-12,178.61000061035156
2015-03-13,177.3699951171875
2015-03-16,177.7100067138672
2015-03-17,177.33999633789062
2015-03-18,177.60000610351562
2015-03-19,176.10000610351562
2015-03-20,177.08999633789062
2015-03-23,178.4499969482422
2015-03-24,176.67999267578125
2015-03-25,175.1300048828125
2015-03-26,174.4499969482422
2015-03-27,173.60000610351562
2015-03-30,176.5
2015-03-31,174.0
2015-04-01,173.10000610351562
2015-04-02,173.89999389648438
2015-04-06,176.72999572753906
2015-04-07,176.13999938964844
2015-04-08,179.22000122070312
2015-04-09,180.00999450683594
2015-04-10,179.9600067138672
2015-04-13,180.509994506836
2015-04-14,183.3500061035156
2015-04-15,183.4900054931641
2015-04-16,183.8000030517578
2015-04-17,180.9900054931641
2015-04-20,181.58999633789065
2015-04-21,179.9600067138672
2015-04-22,180.6199951171875
2015-04-23,181.66000366210932
2015-04-24,182.2899932861328
