,ELV
2015-01-02,125.45999908447266
2015-01-05,123.26000213623048
2015-01-06,124.94000244140624
2015-01-07,125.55999755859376
2015-01-08,131.5500030517578
2015-01-09,129.8000030517578
2015-01-12,128.8300018310547
2015-01-13,130.27999877929688
2015-01-14,131.80999755859375
2015-01-15,134.08999633789062
2015-01-16,136.00999450683594
2015-01-20,137.1300048828125
2015-01-21,139.67999267578125
2015-01-22,142.86000061035156
2015-01-23,140.77000427246094
2015-01-26,138.6999969482422
2015-01-27,137.77999877929688
2015-01-28,133.5800018310547
2015-01-29,137.10000610351562
2015-01-30,134.9600067138672
2015-02-02,135.5
2015-02-03,136.9600067138672
2015-02-04,137.64999389648438
2015-02-05,137.22999572753906
2015-02-06,135.69000244140625
2015-02-09,134.8800048828125
2015-02-10,138.74000549316406
2015-02-11,141.49000549316406
2015-02-12,142.0
2015-02-13,141.0500030517578
2015-02-17,141.75999450683594
2015-02-18,141.83999633789062
2015-02-19,142.64999389648438
2015-02-20,144.58999633789062
2015-02-23,147.35000610351562
2015-02-24,147.27999877929688
2015-02-25,146.97000122070312
2015-02-26,146.72000122070312
2015-02-27,146.4499969482422
2015-03-02,146.92999267578125
2015-03-03,145.99000549316406
2015-03-04,146.5500030517578
2015-03-05,146.85000610351562
2015-03-06,145.16000366210938
2015-03-09,146.75
2015-03-10,144.27999877929688
2015-03-11,144.3800048828125
2015-03-12,147.4600067138672
2015-03-13,150.00999450683594
2015-03-16,153.25
2015-03-17,153.3000030517578
2015-03-18,157.38999938964844
2015-03-19,157.32000732421875
2015-03-20,158.3800048828125
2015-03-23,157.57000732421875
2015-03-24,157.60000610351562
2015-03-25,154.4199981689453
2015-03-26,152.82000732421875
2015-03-27,156.27000427246094
2015-03-30,156.85000610351562
2015-03-31,154.41000366210938
2015-04-01,153.99000549316406
2015-04-02,153.9499969482422
2015-04-06,155.42999267578125
2015-04-07,155.19000244140625
2015-04-08,154.63999938964844
2015-04-09,153.49000549316406
2015-04-10,153.9199981689453
2015-04-13,153.50999450683594
2015-04-14,154.25
2015-04-15,151.3000030517578
2015-04-16,154.92999267578125
2015-04-17,152.47999572753906
2015-04-20,152.8699951171875
2015-04-21,152.8800048828125
2015-04-22,152.83999633789062
2015-04-23,154.1999969482422
2015-04-24,154.27999877929688
2015-04-27,151.02000427246094
2015-04-28,154.22000122070312
2015-04-29,151.07000732421875
2015-04-30,150.92999267578125
2015-05-01,153.22999572753906
2015-05-04,155.83999633789062
2015-05-05,154.1999969482422
2015-05-06,159.85000610351562
2015-05-07,155.8000030517578
2015-05-08,158.39999389648438
2015-05-11,158.80999755859375
2015-05-12,158.47000122070312
2015-05-13,158.7899932861328
2015-05-14,160.0
2015-05-15,161.3699951171875
2015-05-18,163.25
2015-05-19,164.44000244140625
2015-05-20,163.57000732421875
2015-05-21,164.6199951171875
2015-05-22,164.19000244140625
2015-05-26,162.33999633789062
2015-05-27,163.3800048828125
2015-05-28,164.22000122070312
2015-05-29,167.85000610351562
2015-06-01,168.07000732421875
2015-06-02,164.13999938964844
2015-06-03,163.75999450683594
2015-06-04,161.4499969482422
2015-06-05,162.82000732421875
2015-06-08,161.88999938964844
2015-06-09,162.58999633789062
2015-06-10,164.3699951171875
2015-06-11,163.97000122070312
2015-06-12,160.7100067138672
2015-06-15,164.4600067138672
2015-06-16,166.85000610351562
2015-06-17,165.16000366210938
2015-06-18,165.24000549316406
2015-06-19,165.05999755859375
2015-06-22,171.0399932861328
2015-06-23,170.0
2015-06-24,167.97000122070312
2015-06-25,170.33999633789062
2015-06-26,164.67999267578125
2015-06-29,163.05999755859375
2015-06-30,164.13999938964844
2015-07-01,165.22000122070312
2015-07-02,163.13999938964844
2015-07-06,161.60000610351562
2015-07-07,160.3300018310547
2015-07-08,159.38999938964844
2015-07-09,158.5800018310547
2015-07-10,159.72999572753906
2015-07-13,156.4499969482422
2015-07-14,159.97000122070312
2015-07-15,159.60000610351562
2015-07-16,157.60000610351562
2015-07-17,158.58999633789062
2015-07-20,156.58999633789062
2015-07-21,155.77999877929688
2015-07-22,155.10000610351562
2015-07-23,155.2100067138672
2015-07-24,150.86000061035156
2015-07-27,151.5
2015-07-28,154.1999969482422
2015-07-29,155.27000427246094
2015-07-30,154.88999938964844
2015-07-31,154.27000427246094
2015-08-03,152.77999877929688
2015-08-04,152.5
2015-08-05,154.9499969482422
2015-08-06,152.44000244140625
2015-08-07,152.6300048828125
2015-08-10,152.3300018310547
2015-08-11,152.4199981689453
2015-08-12,149.47000122070312
2015-08-13,149.69000244140625
2015-08-14,149.3000030517578
2015-08-17,151.89999389648438
2015-08-18,153.3000030517578
2015-08-19,151.9499969482422
2015-08-20,147.86000061035156
2015-08-21,146.6199951171875
2015-08-24,140.67999267578125
2015-08-25,138.13999938964844
2015-08-26,142.16000366210938
2015-08-27,142.16000366210938
2015-08-28,140.55999755859375
2015-08-31,141.0500030517578
2015-09-01,138.05999755859375
2015-09-02,140.47000122070312
2015-09-03,142.9499969482422
2015-09-04,142.0500030517578
2015-09-08,146.42999267578125
2015-09-09,145.60000610351562
2015-09-10,143.94000244140625
2015-09-11,147.08999633789062
2015-09-14,145.8699951171875
2015-09-15,148.24000549316406
2015-09-16,151.14999389648438
2015-09-17,150.27000427246094
2015-09-18,146.86000061035156
2015-09-21,149.57000732421875
2015-09-22,148.66000366210938
2015-09-23,149.27999877929688
2015-09-24,147.05999755859375
2015-09-25,141.91000366210938
2015-09-28,136.30999755859375
2015-09-29,137.72000122070312
2015-09-30,140.0
2015-10-01,138.94000244140625
2015-10-02,141.85000610351562
2015-10-05,142.85000610351562
2015-10-06,139.4600067138672
2015-10-07,139.41000366210938
2015-10-08,137.3300018310547
2015-10-09,140.49000549316406
2015-10-12,143.86000061035156
2015-10-13,146.52999877929688
2015-10-14,143.35000610351562
2015-10-15,145.22999572753906
2015-10-16,147.0500030517578
2015-10-19,148.80999755859375
2015-10-20,148.24000549316406
2015-10-21,142.7899932861328
2015-10-22,139.41000366210938
2015-10-23,140.9499969482422
2015-10-26,141.74000549316406
2015-10-27,144.69000244140625
2015-10-28,141.8000030517578
2015-10-29,141.33999633789062
2015-10-30,139.14999389648438
2015-11-02,139.86000061035156
2015-11-03,137.0500030517578
2015-11-04,135.33999633789062
2015-11-05,136.0399932861328
2015-11-06,133.97999572753906
2015-11-09,133.77000427246094
2015-11-10,135.27000427246094
2015-11-11,134.19000244140625
2015-11-12,133.42999267578125
2015-11-13,132.5500030517578
2015-11-16,135.05999755859375
2015-11-17,136.25
2015-11-18,137.3000030517578
2015-11-19,127.86000061035156
2015-11-20,131.2899932861328
2015-11-23,131.1300048828125
2015-11-24,131.6300048828125
2015-11-25,131.0
2015-11-27,131.22000122070312
2015-11-30,130.3800048828125
2015-12-01,135.82000732421875
2015-12-02,132.9199981689453
2015-12-03,129.42999267578125
2015-12-04,132.75
2015-12-07,132.77999877929688
2015-12-08,131.60000610351562
2015-12-09,132.4600067138672
2015-12-10,134.83999633789062
2015-12-11,135.77999877929688
2015-12-14,135.52999877929688
2015-12-15,135.02000427246094
2015-12-16,137.77999877929688
2015-12-17,139.00999450683594
2015-12-18,137.75
2015-12-21,139.52999877929688
2015-12-22,140.19000244140625
2015-12-23,140.50999450683594
2015-12-24,140.55999755859375
2015-12-28,140.02999877929688
2015-12-29,141.85000610351562
2015-12-30,140.9600067138672
2015-12-31,139.44000244140625
2016-01-04,139.2100067138672
2016-01-05,141.24000549316406
2016-01-06,137.7899932861328
2016-01-07,135.42999267578125
2016-01-08,132.1300048828125
2016-01-11,128.36000061035156
2016-01-12,135.60000610351562
2016-01-13,134.13999938964844
2016-01-14,138.10000610351562
2016-01-15,134.99000549316406
2016-01-19,136.85000610351562
2016-01-20,137.49000549316406
2016-01-21,138.77999877929688
2016-01-22,141.39999389648438
2016-01-25,138.6699981689453
2016-01-26,137.75999450683594
2016-01-27,131.22999572753906
2016-01-28,126.41999816894533
2016-01-29,130.49000549316406
2016-02-01,129.72000122070312
2016-02-02,127.01000213623048
2016-02-03,126.83000183105467
2016-02-04,126.63999938964844
2016-02-05,123.37999725341795
2016-02-08,117.22000122070312
2016-02-09,119.81999969482422
2016-02-10,121.47000122070312
2016-02-11,119.9800033569336
2016-02-12,121.5500030517578
2016-02-16,124.83000183105467
2016-02-17,127.55999755859376
2016-02-18,128.02000427246094
2016-02-19,127.2300033569336
2016-02-22,132.1699981689453
2016-02-23,131.27000427246094
2016-02-24,130.75
2016-02-25,132.22999572753906
2016-02-26,132.5
2016-02-29,130.69000244140625
2016-03-01,131.8000030517578
2016-03-02,134.08999633789062
2016-03-03,132.97000122070312
2016-03-04,132.35000610351562
2016-03-07,133.1999969482422
2016-03-08,132.47999572753906
2016-03-09,134.5399932861328
2016-03-10,137.80999755859375
2016-03-11,143.10000610351562
2016-03-14,144.1699981689453
2016-03-15,142.30999755859375
2016-03-16,143.50999450683594
2016-03-17,140.35000610351562
2016-03-18,142.67999267578125
2016-03-21,140.0
2016-03-22,140.8699951171875
2016-03-23,139.5
2016-03-24,139.97000122070312
2016-03-28,139.55999755859375
2016-03-29,140.27999877929688
2016-03-30,139.97000122070312
2016-03-31,138.99000549316406
2016-04-01,141.85000610351562
2016-04-04,147.25999450683594
2016-04-05,143.33999633789062
2016-04-06,144.8699951171875
2016-04-07,143.4199981689453
2016-04-08,143.74000549316406
2016-04-11,140.89999389648438
2016-04-12,142.8699951171875
2016-04-13,143.5500030517578
2016-04-14,143.2100067138672
2016-04-15,142.91000366210938
2016-04-18,142.58999633789062
2016-04-19,144.39999389648438
2016-04-20,145.52000427246094
2016-04-21,145.91000366210938
2016-04-22,147.52000427246094
2016-04-25,146.08999633789062
2016-04-26,147.07000732421875
2016-04-27,144.75999450683594
2016-04-28,144.0
2016-04-29,140.77000427246094
2016-05-02,140.47999572753906
2016-05-03,141.4199981689453
2016-05-04,138.72999572753906
2016-05-05,137.07000732421875
2016-05-06,137.25
2016-05-09,138.44000244140625
2016-05-10,140.16000366210938
2016-05-11,139.57000732421875
2016-05-12,136.0800018310547
2016-05-13,135.50999450683594
2016-05-16,137.22999572753906
2016-05-17,136.2100067138672
2016-05-18,136.0800018310547
2016-05-19,133.7899932861328
2016-05-20,135.72999572753906
2016-05-23,133.17999267578125
2016-05-24,128.47999572753906
2016-05-25,130.9600067138672
2016-05-26,129.61000061035156
2016-05-27,130.6999969482422
2016-05-31,132.16000366210938
2016-06-01,132.50999450683594
2016-06-02,133.2899932861328
2016-06-03,131.83999633789062
2016-06-06,132.44000244140625
2016-06-07,132.91000366210938
2016-06-08,134.1999969482422
2016-06-09,133.75
2016-06-10,131.52000427246094
2016-06-13,130.67999267578125
2016-06-14,130.52000427246094
2016-06-15,130.61000061035156
2016-06-16,132.27999877929688
2016-06-17,132.33999633789062
2016-06-20,132.72000122070312
2016-06-21,131.4499969482422
2016-06-22,128.72000122070312
2016-06-23,128.6699981689453
2016-06-24,126.37999725341795
2016-06-27,124.8499984741211
2016-06-28,127.0500030517578
2016-06-29,131.47999572753906
2016-06-30,131.33999633789062
2016-07-01,131.6699981689453
2016-07-05,130.83999633789062
2016-07-06,132.1199951171875
2016-07-07,129.44000244140625
2016-07-08,132.14999389648438
2016-07-11,131.55999755859375
2016-07-12,131.8800048828125
2016-07-13,133.74000549316406
2016-07-14,133.91000366210938
2016-07-15,134.30999755859375
2016-07-18,135.0
2016-07-19,132.05999755859375
2016-07-20,135.47000122070312
2016-07-21,139.0
2016-07-22,142.94000244140625
2016-07-25,139.97999572753906
2016-07-26,137.58999633789062
2016-07-27,133.86000061035156
2016-07-28,132.89999389648438
2016-07-29,131.33999633789062
2016-08-01,127.61000061035156
2016-08-02,125.55999755859376
2016-08-03,127.87000274658205
2016-08-04,126.81999969482422
2016-08-05,127.86000061035156
2016-08-08,127.73999786376952
2016-08-09,128.4499969482422
2016-08-10,128.14999389648438
2016-08-11,128.1999969482422
2016-08-12,130.19000244140625
2016-08-15,129.2899932861328
2016-08-16,129.3300018310547
2016-08-17,129.5399932861328
2016-08-18,129.42999267578125
2016-08-19,129.52000427246094
2016-08-22,129.72000122070312
2016-08-23,129.1199951171875
2016-08-24,127.61000061035156
2016-08-25,127.11000061035156
2016-08-26,124.94000244140624
2016-08-29,124.18000030517578
2016-08-30,125.41999816894533
2016-08-31,125.08000183105467
2016-09-01,123.36000061035156
2016-09-02,124.23999786376952
2016-09-06,124.29000091552734
2016-09-07,125.8499984741211
2016-09-08,127.66999816894533
2016-09-09,126.88999938964844
2016-09-12,128.5800018310547
2016-09-13,124.56999969482422
2016-09-14,123.29000091552734
2016-09-15,124.33999633789062
2016-09-16,125.5199966430664
2016-09-19,126.31999969482422
2016-09-20,125.76000213623048
2016-09-21,128.58999633789062
2016-09-22,128.4199981689453
2016-09-23,126.55999755859376
2016-09-26,125.08000183105467
2016-09-27,126.3000030517578
2016-09-28,127.37000274658205
2016-09-29,124.93000030517578
2016-09-30,125.30999755859376
2016-10-03,122.9000015258789
2016-10-04,122.44000244140624
2016-10-05,122.06999969482422
2016-10-06,122.3499984741211
2016-10-07,121.9000015258789
2016-10-10,124.8000030517578
2016-10-11,121.9000015258789
2016-10-12,120.8499984741211
2016-10-13,121.0
2016-10-14,121.08999633789062
2016-10-17,118.27999877929688
2016-10-18,123.1500015258789
2016-10-19,123.83000183105467
2016-10-20,124.02999877929688
2016-10-21,123.5
2016-10-24,124.48999786376952
2016-10-25,124.5
2016-10-26,124.16999816894533
2016-10-27,123.48999786376952
2016-10-28,121.62000274658205
2016-10-31,121.86000061035156
2016-11-01,117.41999816894533
2016-11-02,122.98999786376952
2016-11-03,120.02999877929688
2016-11-04,119.29000091552734
2016-11-07,123.48999786376952
2016-11-08,126.83999633789062
2016-11-09,128.75
2016-11-10,133.86000061035156
2016-11-11,133.67999267578125
2016-11-14,138.60000610351562
2016-11-15,138.4199981689453
2016-11-16,138.38999938964844
2016-11-17,137.8800048828125
2016-11-18,135.35000610351562
2016-11-21,137.36000061035156
2016-11-22,141.30999755859375
2016-11-23,143.6199951171875
2016-11-25,144.74000549316406
2016-11-28,143.24000549316406
2016-11-29,145.27999877929688
2016-11-30,142.52999877929688
2016-12-01,145.1699981689453
2016-12-02,145.10000610351562
2016-12-05,144.08999633789062
2016-12-06,143.5500030517578
2016-12-07,145.1999969482422
2016-12-08,146.61000061035156
2016-12-09,145.8800048828125
2016-12-12,145.7899932861328
2016-12-13,146.5800018310547
2016-12-14,144.69000244140625
2016-12-15,143.6699981689453
2016-12-16,145.4600067138672
2016-12-19,144.8800048828125
2016-12-20,147.66000366210938
2016-12-21,144.97999572753906
2016-12-22,144.5800018310547
2016-12-23,146.02000427246094
2016-12-27,145.67999267578125
2016-12-28,144.25999450683594
2016-12-29,144.75999450683594
2016-12-30,143.77000427246094
2017-01-03,143.24000549316406
2017-01-04,143.0500030517578
2017-01-05,144.57000732421875
2017-01-06,144.35000610351562
2017-01-09,142.7899932861328
2017-01-10,146.33999633789062
2017-01-11,145.8300018310547
2017-01-12,148.19000244140625
2017-01-13,148.52999877929688
2017-01-17,146.75
2017-01-18,147.22000122070312
2017-01-19,148.11000061035156
2017-01-20,150.6300048828125
2017-01-23,150.16000366210938
2017-01-24,150.22999572753906
2017-01-25,153.7100067138672
2017-01-26,152.39999389648438
2017-01-27,153.35000610351562
2017-01-30,154.17999267578125
2017-01-31,154.13999938964844
2017-02-01,160.7899932861328
2017-02-02,157.66000366210938
2017-02-03,159.0800018310547
2017-02-06,156.80999755859375
2017-02-07,158.58999633789062
2017-02-08,158.60000610351562
2017-02-09,161.67999267578125
2017-02-10,162.32000732421875
2017-02-13,163.52000427246094
2017-02-14,163.32000732421875
2017-02-15,162.69000244140625
2017-02-16,163.77000427246094
2017-02-17,160.25
2017-02-21,164.22000122070312
2017-02-22,163.27000427246094
2017-02-23,163.9199981689453
2017-02-24,163.8300018310547
2017-02-27,164.91000366210938
2017-02-28,164.82000732421875
2017-03-01,166.97000122070312
2017-03-02,165.97000122070312
2017-03-03,166.0
2017-03-06,165.83999633789062
2017-03-07,166.00999450683594
2017-03-08,165.64999389648438
2017-03-09,166.17999267578125
2017-03-10,166.41000366210938
2017-03-13,167.24000549316406
2017-03-14,165.17999267578125
2017-03-15,169.1999969482422
2017-03-16,168.4199981689453
2017-03-17,168.27000427246094
2017-03-20,167.58999633789062
2017-03-21,166.99000549316406
2017-03-22,166.44000244140625
2017-03-23,165.3800048828125
