,ERIE
2015-01-02,89.33999633789062
2015-01-05,86.12000274658203
2015-01-06,84.11000061035156
2015-01-07,86.30999755859375
2015-01-08,88.23999786376953
2015-01-09,87.12000274658203
2015-01-12,87.75
2015-01-13,88.20999908447266
2015-01-14,87.79000091552734
2015-01-15,87.69000244140625
2015-01-16,88.41000366210938
2015-01-20,87.87999725341797
2015-01-21,87.86000061035156
2015-01-22,90.0
2015-01-23,89.44000244140625
2015-01-26,89.80000305175781
2015-01-27,89.12999725341797
2015-01-28,88.63999938964844
2015-01-29,88.91000366210938
2015-01-30,86.66000366210938
2015-02-02,89.80999755859375
2015-02-03,89.94000244140625
2015-02-04,89.72000122070312
2015-02-05,90.66000366210938
2015-02-06,90.48999786376952
2015-02-09,89.13999938964844
2015-02-10,89.61000061035156
2015-02-11,90.62999725341795
2015-02-12,91.0500030517578
2015-02-13,90.87000274658205
2015-02-17,91.55999755859376
2015-02-18,92.36000061035156
2015-02-19,92.1999969482422
2015-02-20,92.48999786376952
2015-02-23,93.01000213623048
2015-02-24,92.73999786376952
2015-02-25,91.68000030517578
2015-02-26,92.56999969482422
2015-02-27,86.91000366210938
2015-03-02,87.48999786376953
2015-03-03,86.69999694824219
2015-03-04,85.12000274658203
2015-03-05,86.0999984741211
2015-03-06,84.9800033569336
2015-03-09,85.19999694824219
2015-03-10,84.18000030517578
2015-03-11,84.9000015258789
2015-03-12,87.41999816894531
2015-03-13,87.11000061035156
2015-03-16,87.91999816894531
2015-03-17,88.0
2015-03-18,88.05999755859375
2015-03-19,87.80000305175781
2015-03-20,89.9000015258789
2015-03-23,90.97000122070312
2015-03-24,89.43000030517578
2015-03-25,87.37000274658203
2015-03-26,86.43000030517578
2015-03-27,86.38999938964844
2015-03-30,88.54000091552734
2015-03-31,87.26000213623047
2015-04-01,87.1500015258789
2015-04-02,86.47000122070312
2015-04-06,86.61000061035156
2015-04-07,85.87000274658203
2015-04-08,86.02999877929688
2015-04-09,85.61000061035156
2015-04-10,85.38999938964844
2015-04-13,86.58999633789062
2015-04-14,86.26000213623047
2015-04-15,86.02999877929688
2015-04-16,85.52999877929688
2015-04-17,84.44000244140625
2015-04-20,85.77999877929688
2015-04-21,85.68000030517578
2015-04-22,85.43000030517578
2015-04-23,85.87999725341797
2015-04-24,85.66999816894531
2015-04-27,84.55000305175781
2015-04-28,84.55000305175781
2015-04-29,83.68000030517578
2015-04-30,82.75
2015-05-01,80.11000061035156
2015-05-04,80.56999969482422
2015-05-05,80.2699966430664
2015-05-06,80.37999725341797
2015-05-07,80.9800033569336
2015-05-08,81.52999877929688
2015-05-11,81.01000213623047
2015-05-12,80.62999725341797
2015-05-13,81.0199966430664
2015-05-14,81.7300033569336
2015-05-15,80.88999938964844
2015-05-18,81.51000213623047
2015-05-19,81.63999938964844
2015-05-20,81.61000061035156
2015-05-21,81.11000061035156
2015-05-22,80.94999694824219
2015-05-26,80.72000122070312
2015-05-27,81.54000091552734
2015-05-28,82.22000122070312
2015-05-29,81.33000183105469
2015-06-01,81.37999725341797
2015-06-02,80.66999816894531
2015-06-03,81.12000274658203
2015-06-04,80.66999816894531
2015-06-05,80.08000183105469
2015-06-08,80.0199966430664
2015-06-09,80.11000061035156
2015-06-10,81.2699966430664
2015-06-11,82.37000274658203
2015-06-12,82.12000274658203
2015-06-15,81.87999725341797
2015-06-16,82.68000030517578
2015-06-17,82.37999725341797
2015-06-18,83.08000183105469
2015-06-19,83.0
2015-06-22,82.91999816894531
2015-06-23,83.12999725341797
2015-06-24,82.29000091552734
2015-06-25,82.0199966430664
2015-06-26,81.62000274658203
2015-06-29,80.98999786376953
2015-06-30,82.06999969482422
2015-07-01,84.63999938964844
2015-07-02,83.37999725341797
2015-07-06,83.5
2015-07-07,84.4000015258789
2015-07-08,83.4800033569336
2015-07-09,83.79000091552734
2015-07-10,84.83000183105469
2015-07-13,84.5999984741211
2015-07-14,84.29000091552734
2015-07-15,84.25
2015-07-16,84.8499984741211
2015-07-17,84.5199966430664
2015-07-20,83.94000244140625
2015-07-21,82.87000274658203
2015-07-22,83.48999786376953
2015-07-23,83.08000183105469
2015-07-24,82.98999786376953
2015-07-27,82.3499984741211
2015-07-28,81.80000305175781
2015-07-29,81.81999969482422
2015-07-30,81.52999877929688
2015-07-31,86.30999755859375
2015-08-03,86.37000274658203
2015-08-04,86.41000366210938
2015-08-05,86.16999816894531
2015-08-06,85.68000030517578
2015-08-07,86.19999694824219
2015-08-10,85.91000366210938
2015-08-11,86.0199966430664
2015-08-12,85.1500015258789
2015-08-13,85.69000244140625
2015-08-14,86.79000091552734
2015-08-17,87.52999877929688
2015-08-18,87.81999969482422
2015-08-19,87.61000061035156
2015-08-20,86.5199966430664
2015-08-21,84.5199966430664
2015-08-24,81.55999755859375
2015-08-25,80.29000091552734
2015-08-26,81.91999816894531
2015-08-27,82.66000366210938
2015-08-28,82.68000030517578
2015-08-31,81.97000122070312
2015-09-01,80.36000061035156
2015-09-02,81.97000122070312
2015-09-03,80.97000122070312
2015-09-04,79.79000091552734
2015-09-08,80.69000244140625
2015-09-09,80.23999786376953
2015-09-10,80.44000244140625
2015-09-11,80.54000091552734
2015-09-14,80.23999786376953
2015-09-15,80.11000061035156
2015-09-16,80.43000030517578
2015-09-17,81.06999969482422
2015-09-18,80.91999816894531
2015-09-21,81.72000122070312
2015-09-22,80.79000091552734
2015-09-23,80.9000015258789
2015-09-24,80.55000305175781
2015-09-25,81.44999694824219
2015-09-28,81.12999725341797
2015-09-29,81.70999908447266
2015-09-30,82.94000244140625
2015-10-01,81.37000274658203
2015-10-02,81.43000030517578
2015-10-05,82.91000366210938
2015-10-06,82.43000030517578
2015-10-07,83.30000305175781
2015-10-08,84.41999816894531
2015-10-09,84.48999786376953
2015-10-12,84.5
2015-10-13,84.19999694824219
2015-10-14,82.93000030517578
2015-10-15,84.08000183105469
2015-10-16,85.08999633789062
2015-10-19,85.9000015258789
2015-10-20,86.55000305175781
2015-10-21,86.0199966430664
2015-10-22,87.20999908447266
2015-10-23,86.94999694824219
2015-10-26,87.37999725341797
2015-10-27,87.44999694824219
2015-10-28,88.16000366210938
2015-10-29,89.2699966430664
2015-10-30,87.45999908447266
2015-11-02,86.8499984741211
2015-11-03,87.30999755859375
2015-11-04,86.62999725341797
2015-11-05,87.19999694824219
2015-11-06,87.19000244140625
2015-11-09,86.51000213623047
2015-11-10,87.23999786376953
2015-11-11,88.16999816894531
2015-11-12,86.86000061035156
2015-11-13,86.75
2015-11-16,89.66999816894531
2015-11-17,90.56999969482422
2015-11-18,91.54000091552734
2015-11-19,90.8000030517578
2015-11-20,91.5199966430664
2015-11-23,91.91000366210938
2015-11-24,91.5500030517578
2015-11-25,92.41000366210938
2015-11-27,92.22000122070312
2015-11-30,96.33000183105467
2015-12-01,97.38999938964844
2015-12-02,98.23999786376952
2015-12-03,97.97000122070312
2015-12-04,99.48999786376952
2015-12-07,100.55999755859376
2015-12-08,98.86000061035156
2015-12-09,98.41999816894533
2015-12-10,97.02999877929688
2015-12-11,96.38999938964844
2015-12-14,96.5199966430664
2015-12-15,96.91000366210938
2015-12-16,97.98999786376952
2015-12-17,97.9800033569336
2015-12-18,94.0
2015-12-21,95.4800033569336
2015-12-22,96.94000244140624
2015-12-23,96.23999786376952
2015-12-24,97.12000274658205
2015-12-28,98.0199966430664
2015-12-29,98.56999969482422
2015-12-30,97.88999938964844
2015-12-31,95.63999938964844
2016-01-04,94.3499984741211
2016-01-05,93.8499984741211
2016-01-06,94.06999969482422
2016-01-07,92.91999816894533
2016-01-08,91.94000244140624
2016-01-11,91.7300033569336
2016-01-12,92.5
2016-01-13,91.08999633789062
2016-01-14,92.54000091552734
2016-01-15,91.58999633789062
2016-01-19,93.06999969482422
2016-01-20,91.0999984741211
2016-01-21,91.43000030517578
2016-01-22,93.66000366210938
2016-01-25,92.37999725341795
2016-01-26,93.62999725341795
2016-01-27,92.91000366210938
2016-01-28,93.9800033569336
2016-01-29,96.11000061035156
2016-02-01,96.44000244140624
2016-02-02,95.69000244140624
2016-02-03,95.66999816894533
2016-02-04,95.43000030517578
2016-02-05,95.48999786376952
2016-02-08,96.83999633789062
2016-02-09,96.56999969482422
2016-02-10,96.54000091552734
2016-02-11,94.95999908447266
2016-02-12,96.9800033569336
2016-02-16,98.18000030517578
2016-02-17,97.55999755859376
2016-02-18,98.13999938964844
2016-02-19,97.94000244140624
2016-02-22,97.91000366210938
2016-02-23,99.37999725341795
2016-02-24,100.19000244140624
2016-02-25,100.52999877929688
2016-02-26,94.33999633789062
2016-02-29,94.01000213623048
2016-03-01,96.5999984741211
2016-03-02,95.58000183105467
2016-03-03,96.33000183105467
