,FDS
2015-01-02,140.58999633789062
2015-01-05,138.38999938964844
2015-01-06,137.66000366210938
2015-01-07,138.75999450683594
2015-01-08,140.47000122070312
2015-01-09,139.3699951171875
2015-01-12,139.4600067138672
2015-01-13,140.27999877929688
2015-01-14,140.00999450683594
2015-01-15,138.47999572753906
2015-01-16,140.22999572753906
2015-01-20,139.42999267578125
2015-01-21,139.02000427246094
2015-01-22,142.88999938964844
2015-01-23,144.32000732421875
2015-01-26,146.07000732421875
2015-01-27,145.85000610351562
2015-01-28,144.94000244140625
2015-01-29,144.9600067138672
2015-01-30,143.58999633789062
2015-02-02,144.30999755859375
2015-02-03,148.67999267578125
2015-02-04,147.77000427246094
2015-02-05,148.41000366210938
2015-02-06,147.99000549316406
2015-02-09,148.52000427246094
2015-02-10,149.97999572753906
2015-02-11,150.80999755859375
2015-02-12,153.80999755859375
2015-02-13,155.0500030517578
2015-02-17,154.0399932861328
2015-02-18,155.50999450683594
2015-02-19,156.14999389648438
2015-02-20,158.0500030517578
2015-02-23,158.0800018310547
2015-02-24,157.5
2015-02-25,157.25999450683594
2015-02-26,155.8800048828125
2015-02-27,155.5500030517578
2015-03-02,155.86000061035156
2015-03-03,154.61000061035156
2015-03-04,152.69000244140625
2015-03-05,154.5
2015-03-06,152.10000610351562
2015-03-09,152.66000366210938
2015-03-10,150.1199951171875
2015-03-11,150.7899932861328
2015-03-12,153.44000244140625
2015-03-13,151.77999877929688
2015-03-16,154.19000244140625
2015-03-17,158.9600067138672
2015-03-18,157.5800018310547
2015-03-19,156.4499969482422
2015-03-20,155.6300048828125
2015-03-23,156.7100067138672
2015-03-24,157.38999938964844
2015-03-25,155.4600067138672
2015-03-26,156.6199951171875
2015-03-27,157.8000030517578
2015-03-30,159.89999389648438
2015-03-31,159.1999969482422
2015-04-01,160.10000610351562
2015-04-02,159.99000549316406
2015-04-06,159.97000122070312
2015-04-07,160.02000427246094
2015-04-08,161.05999755859375
2015-04-09,161.0399932861328
2015-04-10,158.5500030517578
2015-04-13,157.52999877929688
2015-04-14,158.63999938964844
