,GD
2015-01-02,138.4499969482422
2015-01-05,135.55999755859375
2015-01-06,135.72000122070312
2015-01-07,135.1999969482422
2015-01-08,138.4600067138672
2015-01-09,138.97000122070312
2015-01-12,137.89999389648438
2015-01-13,137.7899932861328
2015-01-14,137.35000610351562
2015-01-15,137.7100067138672
2015-01-16,139.07000732421875
2015-01-20,138.08999633789062
2015-01-21,138.88999938964844
2015-01-22,141.2100067138672
2015-01-23,141.32000732421875
2015-01-26,140.05999755859375
2015-01-27,137.1999969482422
2015-01-28,136.39999389648438
2015-01-29,134.47999572753906
2015-01-30,133.2100067138672
2015-02-02,136.1199951171875
2015-02-03,138.9499969482422
2015-02-04,138.52999877929688
2015-02-05,138.69000244140625
2015-02-06,139.2899932861328
2015-02-09,136.94000244140625
2015-02-10,138.16000366210938
2015-02-11,137.2100067138672
2015-02-12,138.14999389648438
2015-02-13,137.61000061035156
2015-02-17,138.0500030517578
2015-02-18,138.66000366210938
2015-02-19,139.50999450683594
2015-02-20,142.24000549316406
2015-02-23,141.25999450683594
2015-02-24,141.67999267578125
2015-02-25,140.13999938964844
2015-02-26,139.42999267578125
2015-02-27,138.77999877929688
2015-03-02,139.8000030517578
2015-03-03,137.08999633789062
2015-03-04,136.25
2015-03-05,136.42999267578125
2015-03-06,134.60000610351562
2015-03-09,135.9199981689453
2015-03-10,132.69000244140625
2015-03-11,132.3000030517578
2015-03-12,133.6699981689453
2015-03-13,132.19000244140625
2015-03-16,134.97000122070312
2015-03-17,134.1300048828125
2015-03-18,136.1199951171875
2015-03-19,135.27999877929688
2015-03-20,135.41000366210938
2015-03-23,135.8800048828125
2015-03-24,135.1999969482422
2015-03-25,133.75999450683594
2015-03-26,134.52999877929688
2015-03-27,135.0399932861328
2015-03-30,137.50999450683594
2015-03-31,135.72999572753906
2015-04-01,133.97999572753906
2015-04-02,133.72999572753906
2015-04-06,135.50999450683594
2015-04-07,135.0
2015-04-08,135.24000549316406
2015-04-09,135.77999877929688
2015-04-10,135.91000366210938
2015-04-13,134.77000427246094
2015-04-14,133.10000610351562
2015-04-15,132.60000610351562
2015-04-16,133.14999389648438
2015-04-17,131.27000427246094
2015-04-20,133.27999877929688
2015-04-21,133.13999938964844
2015-04-22,133.7100067138672
2015-04-23,132.8000030517578
2015-04-24,134.10000610351562
2015-04-27,133.55999755859375
2015-04-28,133.47999572753906
2015-04-29,138.52999877929688
2015-04-30,137.32000732421875
2015-05-01,140.13999938964844
2015-05-04,140.60000610351562
2015-05-05,137.97999572753906
2015-05-06,137.6300048828125
2015-05-07,138.3000030517578
2015-05-08,141.66000366210938
2015-05-11,140.22000122070312
2015-05-12,139.42999267578125
2015-05-13,139.02000427246094
2015-05-14,140.94000244140625
2015-05-15,140.11000061035156
2015-05-18,140.27999877929688
2015-05-19,140.0500030517578
2015-05-20,139.9499969482422
2015-05-21,140.8699951171875
2015-05-22,139.63999938964844
2015-05-26,137.99000549316406
2015-05-27,140.55999755859375
2015-05-28,140.41000366210938
2015-05-29,140.16000366210938
2015-06-01,140.25
2015-06-02,140.60000610351562
2015-06-03,140.67999267578125
2015-06-04,138.97999572753906
2015-06-05,139.22000122070312
2015-06-08,138.33999633789062
2015-06-09,138.67999267578125
2015-06-10,141.5399932861328
2015-06-11,142.25
2015-06-12,142.0500030517578
2015-06-15,142.02000427246094
2015-06-16,143.22999572753906
2015-06-17,144.5
2015-06-18,145.99000549316406
