,HUBB
2015-01-02,107.52999877929688
2015-01-05,104.58000183105467
2015-01-06,102.61000061035156
2015-01-07,102.62999725341795
2015-01-08,105.5199966430664
2015-01-09,106.68000030517578
2015-01-12,105.93000030517578
2015-01-13,105.8000030517578
2015-01-14,104.36000061035156
2015-01-15,103.8499984741211
2015-01-16,104.66999816894533
2015-01-20,104.9800033569336
2015-01-21,106.95999908447266
2015-01-22,108.81999969482422
2015-01-23,106.9800033569336
2015-01-26,107.68000030517578
2015-01-27,106.75
2015-01-28,104.5500030517578
2015-01-29,108.5
2015-01-30,106.04000091552734
2015-02-02,108.80999755859376
2015-02-03,111.05999755859376
2015-02-04,110.54000091552734
2015-02-05,111.04000091552734
2015-02-06,112.19000244140624
2015-02-09,112.2699966430664
2015-02-10,113.86000061035156
2015-02-11,113.77999877929688
2015-02-12,114.86000061035156
2015-02-13,115.41000366210938
2015-02-17,114.37000274658205
2015-02-18,113.97000122070312
2015-02-19,113.9499969482422
2015-02-20,116.12000274658205
2015-02-23,115.94000244140624
2015-02-24,116.29000091552734
2015-02-25,115.68000030517578
2015-02-26,114.44000244140624
2015-02-27,113.8000030517578
2015-03-02,113.6500015258789
2015-03-03,112.5999984741211
2015-03-04,110.4000015258789
2015-03-05,110.23999786376952
2015-03-06,109.87999725341795
2015-03-09,110.56999969482422
2015-03-10,108.22000122070312
2015-03-11,108.66000366210938
2015-03-12,109.0500030517578
2015-03-13,108.3000030517578
2015-03-16,109.62000274658205
2015-03-17,109.4800033569336
2015-03-18,110.0
2015-03-19,110.0500030517578
2015-03-20,111.41000366210938
2015-03-23,110.5500030517578
2015-03-24,110.37000274658205
2015-03-25,109.4000015258789
2015-03-26,109.6999969482422
2015-03-27,109.45999908447266
2015-03-30,110.0500030517578
2015-03-31,109.62000274658205
2015-04-01,108.6500015258789
2015-04-02,108.81999969482422
2015-04-06,109.33999633789062
2015-04-07,109.41999816894533
2015-04-08,109.98999786376952
2015-04-09,110.9800033569336
2015-04-10,110.75
2015-04-13,110.37999725341795
2015-04-14,110.6500015258789
2015-04-15,110.5
2015-04-16,110.88999938964844
2015-04-17,110.6999969482422
2015-04-20,110.37999725341795
2015-04-21,110.37999725341795
2015-04-22,110.19000244140624
2015-04-23,110.31999969482422
2015-04-24,109.31999969482422
2015-04-27,109.2300033569336
2015-04-28,110.11000061035156
2015-04-29,109.87999725341795
2015-04-30,108.83000183105467
2015-05-01,109.5999984741211
2015-05-04,110.0999984741211
2015-05-05,109.29000091552734
2015-05-06,108.7699966430664
2015-05-07,108.86000061035156
2015-05-08,109.51000213623048
2015-05-11,109.52999877929688
2015-05-12,109.0999984741211
2015-05-13,109.83000183105467
2015-05-14,111.55999755859376
2015-05-15,111.73999786376952
2015-05-18,111.37999725341795
2015-05-19,111.37000274658205
2015-05-20,111.55999755859376
2015-05-21,110.52999877929688
2015-05-22,110.29000091552734
2015-05-26,109.77999877929688
2015-05-27,109.75
2015-05-28,109.11000061035156
2015-05-29,108.02999877929688
2015-06-01,108.58999633789062
2015-06-02,108.88999938964844
2015-06-03,109.66999816894533
2015-06-04,109.18000030517578
2015-06-05,109.77999877929688
2015-06-08,109.3499984741211
2015-06-09,110.5
2015-06-10,111.0
2015-06-11,110.94000244140624
