,J
2015-01-02,36.92399215698242
2015-01-05,35.592281341552734
2015-01-06,34.947105407714844
2015-01-07,34.4838981628418
2015-01-08,35.72462463378906
2015-01-09,34.765132904052734
2015-01-12,33.71464920043945
2015-01-13,33.30107498168945
2015-01-14,32.99502944946289
2015-01-15,31.89491844177246
2015-01-16,32.217506408691406
2015-01-20,32.23405075073242
2015-01-21,32.73861312866211
2015-01-22,32.75515365600586
2015-01-23,32.912315368652344
2015-01-26,33.06119918823242
2015-01-27,32.358123779296875
2015-01-28,31.72948837280273
2015-01-29,32.05207824707031
2015-01-30,31.514429092407227
2015-02-02,32.961944580078125
2015-02-03,34.01242446899414
2015-02-04,32.92058563232422
2015-02-05,33.80563735961914
2015-02-06,33.838722229003906
2015-02-09,34.2771110534668
2015-02-10,34.29365539550781
2015-02-11,34.6906852722168
2015-02-12,35.203521728515625
2015-02-13,35.79079818725586
2015-02-17,35.774253845214844
2015-02-18,36.245731353759766
2015-02-19,36.23745727539063
2015-02-20,36.75856399536133
2015-02-23,36.5600471496582
2015-02-24,36.81646347045898
2015-02-25,37.01498031616211
2015-02-26,36.84127807617188
2015-02-27,36.67584609985352
2015-03-02,36.55177688598633
2015-03-03,36.38634490966797
2015-03-04,36.21264266967773
2015-03-05,36.27054214477539
2015-03-06,35.64191055297852
2015-03-09,35.78252410888672
2015-03-10,35.85696792602539
2015-03-11,35.60055160522461
2015-03-12,36.08856964111328
2015-03-13,35.74943923950195
2015-03-16,36.11338424682617
2015-03-17,35.97277069091797
2015-03-18,36.91572189331055
2015-03-19,36.38634490966797
2015-03-20,37.05633544921875
2015-03-23,37.18868255615234
2015-03-24,37.3127555847168
2015-03-25,37.1804084777832
2015-03-26,37.18868255615234
2015-03-27,36.626220703125
2015-03-30,37.18868255615234
2015-03-31,37.35411071777344
2015-04-01,36.65103530883789
2015-04-02,36.626220703125
2015-04-06,37.42855453491211
2015-04-07,37.1804084777832
2015-04-08,37.42855453491211
2015-04-09,37.96620178222656
2015-04-10,38.54520797729492
2015-04-13,38.39632034301758
2015-04-14,38.710636138916016
2015-04-15,39.87691879272461
2015-04-16,39.50470352172852
2015-04-17,39.25655746459961
2015-04-20,39.19865798950195
2015-04-21,38.97532653808594
2015-04-22,38.83470916748047
2015-04-23,39.0084114074707
2015-04-24,38.30533218383789
2015-04-27,38.5948371887207
2015-04-28,36.39461517333984
2015-04-29,36.5186882019043
2015-04-30,35.451663970947266
2015-05-01,35.360679626464844
2015-05-04,35.47647857666016
2015-05-05,35.402034759521484
2015-05-06,35.52610778808594
2015-05-07,35.80733871459961
2015-05-08,36.18782806396485
2015-05-11,36.22091674804688
2015-05-12,36.005855560302734
2015-05-13,36.419429779052734
2015-05-14,36.63449096679688
2015-05-15,36.39461517333984
2015-05-18,36.609676361083984
2015-05-19,36.17955780029297
2015-05-20,36.53523254394531
2015-05-21,36.659305572509766
2015-05-22,36.0389404296875
2015-05-26,35.60882568359375
2015-05-27,36.030670166015625
2015-05-28,35.84869766235352
2015-05-29,35.78252410888672
2015-06-01,35.9396858215332
2015-06-02,36.11338424682617
2015-06-03,36.60140609741211
2015-06-04,35.69981002807617
2015-06-05,36.09684371948242
2015-06-08,35.2779655456543
2015-06-09,35.51783752441406
2015-06-10,36.12165832519531
2015-06-11,35.9396858215332
2015-06-12,35.65845489501953
2015-06-15,34.988460540771484
2015-06-16,35.30277633666992
2015-06-17,35.39376449584961
2015-06-18,35.72462463378906
2015-06-19,36.014129638671875
2015-06-22,36.196102142333984
2015-06-23,36.27881622314453
2015-06-24,35.592281341552734
2015-06-25,35.153892517089844
2015-06-26,34.93056106567383
2015-06-29,33.62366485595703
2015-06-30,33.59885025024414
2015-07-01,33.61539077758789
2015-07-02,33.43341827392578
2015-07-06,33.01984405517578
2015-07-07,33.12737274169922
2015-07-08,32.97021484375
2015-07-09,32.953670501708984
