,LII
2015-01-02,94.5500030517578
2015-01-05,94.33000183105467
2015-01-06,93.8499984741211
2015-01-07,94.66000366210938
2015-01-08,96.37999725341795
2015-01-09,95.91999816894533
2015-01-12,96.62000274658205
2015-01-13,96.3000030517578
2015-01-14,96.87000274658205
2015-01-15,94.77999877929688
2015-01-16,94.62999725341795
2015-01-20,95.7300033569336
2015-01-21,96.94000244140624
2015-01-22,98.36000061035156
2015-01-23,98.62000274658205
2015-01-26,99.9000015258789
2015-01-27,99.2300033569336
2015-01-28,99.47000122070312
2015-01-29,99.6999969482422
2015-01-30,98.30999755859376
2015-02-02,100.36000061035156
2015-02-03,101.06999969482422
2015-02-04,101.04000091552734
2015-02-05,101.0
2015-02-06,101.19000244140624
2015-02-09,100.66000366210938
2015-02-10,101.62999725341795
2015-02-11,101.81999969482422
2015-02-12,103.38999938964844
2015-02-13,104.2699966430664
2015-02-17,104.7699966430664
2015-02-18,105.37999725341795
2015-02-19,105.3499984741211
2015-02-20,106.5999984741211
2015-02-23,106.4000015258789
2015-02-24,105.80999755859376
2015-02-25,104.6999969482422
2015-02-26,104.27999877929688
2015-02-27,104.26000213623048
2015-03-02,107.1999969482422
2015-03-03,107.08000183105467
2015-03-04,107.2699966430664
2015-03-05,107.37999725341795
2015-03-06,106.61000061035156
2015-03-09,106.9800033569336
2015-03-10,107.12999725341795
2015-03-11,108.01000213623048
2015-03-12,108.6999969482422
2015-03-13,107.86000061035156
2015-03-16,108.4000015258789
2015-03-17,108.08999633789062
2015-03-18,109.2300033569336
2015-03-19,109.45999908447266
2015-03-20,109.7699966430664
2015-03-23,109.9499969482422
2015-03-24,109.95999908447266
2015-03-25,109.1999969482422
2015-03-26,109.7699966430664
2015-03-27,110.5199966430664
2015-03-30,111.37000274658205
2015-03-31,111.69000244140624
2015-04-01,111.94000244140624
2015-04-02,112.05999755859376
2015-04-06,112.08999633789062
2015-04-07,111.38999938964844
2015-04-08,112.16000366210938
2015-04-09,111.4000015258789
2015-04-10,111.1999969482422
2015-04-13,110.20999908447266
2015-04-14,111.51000213623048
2015-04-15,113.58000183105467
2015-04-16,112.5
2015-04-17,111.38999938964844
2015-04-20,106.72000122070312
2015-04-21,105.61000061035156
2015-04-22,107.6999969482422
