,WTW
2015-01-02,118.01324462890624
2015-01-05,117.16556549072266
2015-01-06,116.58277893066406
2015-01-07,118.25165557861328
2015-01-08,119.60264587402344
2015-01-09,118.54304504394533
2015-01-12,117.4834442138672
2015-01-13,117.61589050292967
2015-01-14,116.58277893066406
2015-01-15,116.29138946533205
2015-01-16,116.34436798095705
2015-01-20,114.49006652832033
2015-01-21,114.22516632080078
2015-01-22,115.1523208618164
2015-01-23,114.5165557861328
2015-01-26,115.44371032714844
2015-01-27,114.22516632080078
2015-01-28,113.4834442138672
2015-01-29,115.73509979248048
2015-01-30,114.70198822021484
2015-02-02,116.45033264160156
2015-02-03,118.11920166015624
2015-02-04,118.88742065429688
2015-02-05,119.1788101196289
2015-02-06,118.91390991210938
2015-02-09,118.72847747802734
2015-02-10,119.1788101196289
2015-02-11,126.83443450927734
2015-02-12,128.158935546875
2015-02-13,126.70198822021484
2015-02-17,126.33112335205078
2015-02-18,125.82781219482422
2015-02-19,126.4635772705078
2015-02-20,126.49006652832033
2015-02-23,126.49006652832033
2015-02-24,126.43708801269533
2015-02-25,126.14569854736328
2015-02-26,125.96026611328124
2015-02-27,126.4105987548828
2015-03-02,127.44371032714844
2015-03-03,127.3112564086914
2015-03-04,125.82781219482422
2015-03-05,126.54304504394533
2015-03-06,125.05960083007812
2015-03-09,125.93377685546876
2015-03-10,124.7947006225586
2015-03-11,126.43708801269533
2015-03-12,127.54966735839844
2015-03-13,127.8675537109375
2015-03-16,130.09271240234375
2015-03-17,130.06622314453125
2015-03-18,130.75497436523438
2015-03-19,130.3046417236328
2015-03-20,130.2516632080078
2015-03-23,129.82781982421875
2015-03-24,128.84768676757812
2015-03-25,127.65563201904295
2015-03-26,127.2847671508789
2015-03-27,127.1523208618164
2015-03-30,128.82119750976562
2015-03-31,127.62914276123048
2015-04-01,128.1324462890625
2015-04-02,128.42384338378906
2015-04-06,129.7218475341797
2015-04-07,129.6423797607422
2015-04-08,130.03973388671875
2015-04-09,130.22515869140625
2015-04-10,130.6754913330078
2015-04-13,131.01986694335938
2015-04-14,131.76158142089844
2015-04-15,131.25828552246094
2015-04-16,130.5430450439453
2015-04-17,129.4834442138672
2015-04-20,129.80133056640625
2015-04-21,129.6688690185547
2015-04-22,129.19204711914062
2015-04-23,129.85430908203125
2015-04-24,130.83444213867188
2015-04-27,129.96026611328125
2015-04-28,130.6490020751953
2015-04-29,130.06622314453125
2015-04-30,128.82119750976562
2015-05-01,128.95364379882812
2015-05-04,126.88742065429688
2015-05-05,126.22516632080078
2015-05-06,125.72185516357422
2015-05-07,126.91390991210938
2015-05-08,126.86092376708984
2015-05-11,125.96026611328124
2015-05-12,125.21854400634766
2015-05-13,124.8741683959961
2015-05-14,126.17218780517578
2015-05-15,125.56291198730467
2015-05-18,128.10595703125
2015-05-19,128.55628967285156
2015-05-20,128.87417602539062
2015-05-21,128.052978515625
2015-05-22,128.42384338378906
2015-05-26,127.1258316040039
2015-05-27,127.2317886352539
2015-05-28,126.99337768554688
2015-05-29,125.72185516357422
2015-06-01,126.11920166015624
2015-06-02,126.09271240234376
2015-06-03,126.22516632080078
2015-06-04,125.00662231445312
2015-06-05,125.37747955322266
2015-06-08,125.35099029541016
2015-06-09,125.03311157226562
2015-06-10,125.98675537109376
2015-06-11,127.44371032714844
2015-06-12,126.17218780517578
2015-06-15,125.77483367919922
2015-06-16,126.14569854736328
2015-06-17,126.43708801269533
2015-06-18,127.2317886352539
2015-06-19,126.03973388671876
2015-06-22,126.14569854736328
2015-06-23,126.14569854736328
2015-06-24,124.98013305664062
2015-06-25,123.89404296875
2015-06-26,123.49668884277344
2015-06-29,120.26490020751952
2015-06-30,124.23841094970705
2015-07-01,124.1324462890625
2015-07-02,124.15894317626952
2015-07-06,124.92715454101562
2015-07-07,124.47682189941406
2015-07-08,123.49668884277344
2015-07-09,124.0
2015-07-10,124.47682189941406
2015-07-13,124.6622543334961
2015-07-14,124.50331115722656
2015-07-15,124.37085723876952
2015-07-16,124.47682189941406
2015-07-17,124.50331115722656
2015-07-20,124.0264892578125
2015-07-21,123.2582778930664
2015-07-22,123.1523208618164
2015-07-23,123.1523208618164
2015-07-24,122.33112335205078
2015-07-27,121.93377685546876
2015-07-28,122.35761260986328
2015-07-29,124.15894317626952
2015-07-30,123.49668884277344
2015-07-31,123.1523208618164
2015-08-03,124.18543243408205
2015-08-04,124.31787872314452
2015-08-05,124.8741683959961
2015-08-06,122.70198822021484
2015-08-07,122.5695343017578
2015-08-10,122.96688842773438
2015-08-11,121.61589050292967
2015-08-12,121.40397644042967
2015-08-13,121.4304656982422
2015-08-14,122.5165557861328
2015-08-17,123.07284545898438
2015-08-18,122.94039916992188
2015-08-19,121.66887664794922
2015-08-20,120.50331115722656
2015-08-21,118.22516632080078
2015-08-24,114.5695343017578
2015-08-25,113.4834442138672
2015-08-26,114.22516632080078
2015-08-27,116.6357650756836
2015-08-28,114.88742065429688
2015-08-31,114.14569854736328
2015-09-01,112.52980041503906
2015-09-02,112.92715454101562
2015-09-03,112.95364379882812
2015-09-04,111.947021484375
2015-09-08,114.96688842773438
2015-09-09,115.07284545898438
2015-09-10,114.33112335205078
2015-09-11,112.7152328491211
2015-09-14,111.9205322265625
2015-09-15,112.6887435913086
2015-09-16,113.72185516357422
2015-09-17,113.05960083007812
2015-09-18,110.88742065429688
2015-09-21,111.84105682373048
2015-09-22,111.1258316040039
2015-09-23,110.83443450927734
2015-09-24,108.52980041503906
2015-09-25,109.05960083007812
2015-09-28,107.2052993774414
2015-09-29,107.54966735839844
2015-09-30,108.52980041503906
2015-10-01,108.55628967285156
2015-10-02,109.90728759765624
2015-10-05,111.60264587402344
2015-10-06,111.68212127685548
2015-10-07,111.78807830810548
2015-10-08,111.89404296875
2015-10-09,111.54966735839844
2015-10-12,111.78807830810548
2015-10-13,111.52317810058594
2015-10-14,110.14569854736328
2015-10-15,111.47019958496094
2015-10-16,111.70861053466795
2015-10-19,111.49668884277344
2015-10-20,112.8741683959961
2015-10-21,113.37747955322266
2015-10-22,114.25165557861328
2015-10-23,116.47682189941406
2015-10-26,116.7152328491211
2015-10-27,116.8476791381836
2015-10-28,118.67549896240234
2015-10-29,118.72847747802734
