,weight
AAPL,0.0
ABBV,0.0
ABT,0.0
ACN,0.18995741821496276
ADBE,0.18995741821496276
ADI,0.0
ADP,0.0
AMAT,-0.00020508807506315773
AMD,-0.0003936837884163809
AMGN,0.0
AMZN,0.0
AON,0.0
AVGO,-9.250219443503262e-19
AXP,0.0
BAC,0.0
BDX,0.0
BKNG,0.0
BSX,0.07433152017040195
C,0.0
CAT,-0.00039368378841638
CB,0.0
CDNS,0.0
CL,0.0
CME,4.0798352074330964e-16
COST,0.0
CRM,0.0
CSCO,0.0
CSX,0.0
CTAS,0.0
CVS,0.0
CVX,4.418816477072208e-16
DUK,0.0
ECL,0.0
EOG,0.08285850479259942
ETN,0.0
FDX,0.0
GILD,0.0
GOOGL,0.0
GS,0.0
HD,0.0
HON,0.0
ICE,0.0
INTU,0.18995741821496276
ISRG,0.0
ITW,0.0
JNJ,0.0
JPM,0.0
KLAC,-0.00013219170453516925
KO,0.0
LIN,0.0
LLY,0.0
LOW,0.0
LRCX,-0.00039368378841638164
MA,0.0
MCD,0.0
MCO,0.0
META,0.0
MO,0.0
MRK,0.0
MSFT,0.0
MU,-0.00039368378841638164
NEE,0.0
NFLX,0.0
NKE,0.0
NOC,0.0
NOW,0.0
NSC,0.0
NVDA,0.0
ORCL,0.0
ORLY,0.0
PANW,0.0
PEP,0.0
PG,0.0
PGR,0.08091210407231329
PM,0.0
PSA,0.0
QCOM,-0.00015618317156977985
REGN,0.0
RTX,0.0
SCHW,0.0
SHW,0.0
SNPS,0.0
SO,0.0
SYK,0.0
TJX,0.0
TMO,0.0
TXN,0.0
V,0.0
VRTX,0.0
WM,0.18995741821496262
WMT,0.0
XOM,0.0
ZTS,0.0
