,weight
ARE,0.006643952299829642
AEE,-0.004276605588653906
AON,-0.00738686419858402
APA,-0.010093221570918413
ACGL,-0.0029158674468094813
ADM,-0.010093221570918413
AJG,-0.0038878232624126423
T,-0.010093221570918413
AXON,0.006598523566155593
BX,0.0066893810335036915
XYZ,0.007018739352640544
BRO,-0.010093221570918413
BF-B,-0.010093221570918413
BLDR,0.00699602498580352
BG,-0.010093221570918413
BXP,0.006473594548551958
CPB,-0.0031102586099301137
CCL,0.006984667802385009
CVNA,0.006859738784781374
CBOE,-0.010093221570918413
CNC,-0.009136384666669708
CF,-0.008164428851066547
CRL,0.006291879613855763
CHD,-0.003499040936171378
CI,-0.0007775646524825284
CFG,0.006802952867688812
CME,-0.007581255361704652
COHR,0.0069392390687109595
COIN,0.006723452583759228
CL,-0.00835882001418718
CRWD,0.006462237365133447
DDOG,0.006621237932992618
DASH,0.0070641680863145935
DHI,0.0068143100511073255
EPAM,0.006575809199318568
EFX,0.006609880749574105
EG,-0.002138302794326953
EXC,-0.0027214762836888498
EXPE,0.007041453719477569
EXR,0.006348665530948325
XOM,-0.006998081872342756
FITB,0.006519023282226008
FTNT,-0.010093221570918413
GNRC,0.006916524701873936
GIS,-0.004470996751774538
GDDY,0.006541737649063031
HAL,-0.008747602340428444
HSY,-0.010093221570918413
HRL,-0.007970037687945917
HUM,-0.001749520468085689
INCY,-0.010093221570918413
PODD,0.00653038046564452
IBKR,-0.005054170241136434
IVZ,0.006450880181714935
IQV,0.00642816581487791
KEY,0.0067575241340147646
KMB,-0.009525166992910972
KKR,0.006382737081203862
KR,-0.005637343730498331
LEN,0.006587166382737082
LITE,0.006405451448040887
MRSH,-0.006803690709222123
MAS,0.006337308347529814
MCK,-0.0023326939574475855
MRK,-0.010093221570918413
MCHP,0.006507666098807495
MPWR,0.007052810902896082
NTAP,-0.010093221570918413
NKE,-0.006220517219860227
NOC,-0.010093221570918413
NCLH,0.006837024417944349
ORLY,-0.010093221570918413
OXY,-0.010093221570918413
ORCL,-0.002527085120568217
PLTR,0.0070755252697331066
PAYX,-0.010093221570918413
PFE,-0.0009719558156031606
PNW,-0.010093221570918413
PG,-0.004665387914895171
PGR,-0.00369343209929201
PHM,0.006927881885292447
PWR,0.006360022714366837
RCL,0.006893810335036911
SLB,-0.006414908382980859
SJM,-0.008553211177307812
SW,-0.010093221570918413
SMCI,0.006269165247018739
TPL,-0.0019439116312063211
TKO,-0.0054429525673776995
TT,0.006246450880181714
TFC,0.006564452015900057
USB,0.0067007382169222045
UBER,0.006848381601362862
URI,0.006746166950596252
UNH,-0.0058317348936189626
VRSK,-0.010093221570918413
VRT,0.006678023850085179
WMT,-0.008941993503549076
WBD,0.006553094832481544
WTW,-0.010093221570918413
MOH,-0.009913949319152236
ENPH,0.006791595684270301
CZR,0.006666666666666668
BWA,-0.00660929954610149
CE,0.00663259511641113
ZION,0.0069505962521294725
OGN,-0.004859779078015802
LNC,0.006655309483248155
VNO,0.006961953435547984
PVH,0.006973310618966496
PENN,0.006734809767177739
UA,0.0064963089153889835
UNM,-0.007775646524825285
SLG,0.007030096536059057
FTI,-0.009330775829790342
COTY,0.006416808631459398
CPRI,-0.010093221570918413
TRIP,0.0063145939806927886
MAC,0.007007382169222033
STI,-0.0001943911631206321
NKTR,-0.005248561404257067
FLR,0.00637137989778535
BHF,0.00628052243043725
SIG,0.006905167518455423
RIG,-0.010093221570918413
BBBY,0.007086882453151619
PBI,0.006768881317433276
SE,-0.0003887823262412642
TE,-0.010093221570918413
ADT,0.006303236797274276
GME,-0.003304649773050745
THC,0.006394094264622374
NE,-0.009719558156031604
NBR,-0.0060261260567395945
BEAM,0.0068824531516183994
ANF,0.006871095968199886
S,0.006257808063600227
DV,0.006712095400340716
SLE,-0.004082214425533273
MMI,0.006484951731970471
MI,-0.0005831734893618964
DYN,0.006825667234525838
KBH,0.006780238500851789
CVG,-0.007192473035463387
MBI,-0.0011663469787237927
WB,-0.010093221570918413
BC,0.006325951164111301
ADCT,0.006439522998296423
GRN,-0.0013607381418444249
USL,-0.0015551293049650568
