datetime,dry_run,n_orders,n_long,n_short,gross_long,gross_short,total_trades_usd,signal_date
2026-04-09 00:13,True,0,75.0,75.0,0.5,-0.5,0.0,
2026-04-09 00:15,True,0,75.0,75.0,0.5,-0.5,0.0,
2026-04-09 00:19,True,0,75.0,75.0,0.5,-0.5,0.0,
2026-04-09 00:21,True,0,75.0,75.0,0.5,-0.5,0.0,
2026-04-09 00:27,True,0,75.0,75.0,0.5,-0.5,0.0,
2026-04-11 19:25,True,0,75.0,75.0,0.5,-0.5,0.0,
2026-04-11 19:27,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-11 19:29,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-11 19:31,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-11 19:33,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-11 19:39,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-11 19:40,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-11 19:43,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-11 19:45,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-11 19:49,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-11 19:51,True,125,75.0,75.0,0.5,-0.5,93682.0,
2026-04-12 13:57,False,143,,,,,,2023-12-22
2026-04-13 08:23,False,143,,,,,,2023-12-22
2026-04-13 09:06,False,134,,,,,,2026-04-06
2026-04-20 18:23,False,84,,,,,,2023-12-22
2026-05-25 13:50,False,83,,,,,,2023-12-22
2026-06-01 19:36,False,83,,,,,,2023-12-22
2026-06-08 06:41,False,82,,,,,,2023-12-22
2026-06-15 11:33,False,82,,,,,,2023-12-22
