param,value,Total Return (%),Annualised Return (%),Annualised Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Hit Rate (%),Skewness,Excess Kurtosis,Total Trading Days
baseline,baseline,2.11,0.62,6.28,0.099,-15.95,0.039,49.88,-0.038,0.683,1235
TOP_N,25,-6.01,-0.94,8.11,-0.115,-15.27,-0.061,48.74,-0.037,0.403,1235
TOP_N,50,2.46,0.73,6.9,0.106,-14.92,0.049,50.93,-0.028,0.456,1235
TOP_N,100,5.23,1.21,5.84,0.207,-14.84,0.082,51.42,-0.043,0.742,1235
TOP_N,125,4.88,1.12,5.48,0.205,-12.75,0.088,51.17,-0.065,0.696,1235
RIDGE_ALPHA,5.0,1.8,0.56,6.27,0.089,-15.96,0.035,49.88,-0.039,0.688,1235
RIDGE_ALPHA,15.0,1.93,0.59,6.27,0.093,-15.97,0.037,49.96,-0.038,0.682,1235
RIDGE_ALPHA,50.0,1.9,0.58,6.28,0.092,-16.02,0.036,49.64,-0.037,0.68,1235
RIDGE_ALPHA,100.0,2.4,0.68,6.29,0.108,-16.07,0.042,49.72,-0.038,0.687,1235
REBAL_FREQ,10,13.88,3.56,6.04,0.589,-7.92,0.45,51.24,-0.044,0.638,970
REBAL_FREQ,21,-4.24,-2.54,6.36,-0.399,-11.05,-0.23,47.87,0.006,0.424,399
TC_BPS,5.0,13.75,2.82,6.25,0.452,-12.23,0.231,50.85,-0.025,0.709,1235
TC_BPS,20.0,-17.73,-3.78,6.36,-0.594,-24.72,-0.153,48.58,-0.071,0.621,1235
TC_BPS,30.0,-33.73,-8.18,6.5,-1.258,-35.32,-0.232,47.04,-0.117,0.555,1235
TRAIN_WINDOW,26,-14.0,-2.58,6.32,-0.409,-23.46,-0.11,48.79,-0.064,0.752,1365
TRAIN_WINDOW,78,-3.74,-0.69,6.07,-0.113,-15.28,-0.045,49.23,0.037,0.644,1105
LAMBDA_REG,5.0,2.11,0.62,6.28,0.099,-15.95,0.039,49.88,-0.038,0.683,1235
LAMBDA_REG,10.0,2.11,0.62,6.28,0.099,-15.95,0.039,49.88,-0.038,0.683,1235
LAMBDA_REG,50.0,1.37,0.47,6.26,0.076,-16.1,0.029,49.96,-0.05,0.701,1235
LAMBDA_REG,100.0,-7.73,-1.46,6.08,-0.24,-17.28,-0.084,49.64,-0.064,0.787,1235
